Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25.1","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total 2024,Total 2025,Total 2026,Total General,Proporcion General
Generadas,5.0,6.0,11.0,23.0,26.0,43.0,55.0,36.0,56.0,79.0,76.0,103.0,83.0,76.0,92.0,59.0,76.0,97.0,104.0,99.0,127.0,136.0,118.0,111.0,113.0,83.0,85.0,74.0,95.0,82.0,32.0,519.0,1178.0,450.0,1697,0.3924572775486152
Aprobadas,1.0,2.0,7.0,14.0,8.0,13.0,30.0,19.0,26.0,31.0,25.0,39.0,30.0,27.0,31.0,35.0,40.0,46.0,41.0,27.0,43.0,51.0,49.0,31.0,37.0,37.0,41.0,42.0,44.0,35.0,12.0,215.0,451.0,201.0,666,0.509009009009009
Condicionadas,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,32.0,26.0,33.0,25.0,18.0,27.0,6.0,7.0,25.0,22.0,22.0,32.0,22.0,32.0,49.0,34.0,21.0,14.0,16.0,17.0,10.0,9.0,100.0,287.0,102.0,387,0.4507
Rechazadas,4.0,4.0,4.0,9.0,14.0,22.0,17.0,13.0,13.0,12.0,25.0,26.0,26.0,21.0,30.0,16.0,25.0,22.0,33.0,44.0,49.0,62.0,36.0,28.0,36.0,25.0,30.0,16.0,30.0,33.0,9.0,163.0,392.0,137.0,555,0.4507
Formalizadas,1.0,1.0,5.0,11.0,3.0,6.0,17.0,9.0,7.0,14.0,14.0,17.0,19.0,12.0,20.0,17.0,19.0,25.0,21.0,13.0,25.0,25.0,24.0,14.0,21.0,17.0,18.0,16.0,19.0,13.0,4.0,105.0,234.0,91.0,339,0.4507
% de Aprobación,0.2,0.3333333333333333,0.6363636363636364,0.6086956521739131,0.3076923076923077,0.3023255813953488,0.5454545454545454,0.5277777777777778,0.4642857142857143,0.3924050632911392,0.3289473684210527,0.3786407766990291,0.3614457831325301,0.3552631578947368,0.3369565217391304,0.5932203389830508,0.5263157894736842,0.4742268041237113,0.3942307692307692,0.2727272727272727,0.3385826771653543,0.375,0.4152542372881356,0.2792792792792793,0.3274336283185841,0.4457831325301205,0.4823529411764706,0.5675675675675675,0.4631578947368421,0.4268292682926829,0.375,0.4142581888246628,0.3828522920203735,0.4466666666666667,555,0.4507
% de Formalizacion ,1.0,0.5,0.7142857142857143,0.7857142857142857,0.375,0.4615384615384616,0.5666666666666667,0.4736842105263158,0.2692307692307692,0.4516129032258064,0.56,0.4358974358974359,0.6333333333333333,0.4444444444444444,0.6451612903225806,0.4857142857142857,0.475,0.5434782608695652,0.5121951219512195,0.4814814814814815,0.5813953488372093,0.4901960784313725,0.4897959183673469,0.4516129032258064,0.5675675675675675,0.4594594594594595,0.4390243902439024,0.3809523809523809,0.4318181818181818,0.3714285714285714,0.3333333333333333,0.4883720930232558,0.5188470066518847,0.4527363184079602,555,0.4507
